Number,Country,Name,Financing,Status,Approval
SP8301020,Colombia,"Support Fundación Barranquilla","700,000",Closed,"Sep. 28, 1983"
SP8207038,Colombia,"Fundacion Nac. Projuventud Trabajadora","10,000",Closed,"May. 10, 1983"
CO-L1187,Colombia,"Fundacion Nac. Projuventud Trabajadora","500,000",Closed,"May. 10, 1983"
CO-L1188,Colombia,"Corporation for Cauca's Development","300,000",Closed,"Nov. 5, 1982"
SP8207046,Colombia,"Corporation for Cauca's Development","12,000",Closed,"Nov. 5, 1982"
SP8204208,Colombia,"Support Fundación Carlos Sarmiento Lora","840,000",Closed,"Nov. 5, 1982"
SP8108046,Colombia,"Corporation for Caldas Development","9,600",Closed,"Nov. 17, 1981"
CO-L1185,Colombia,"Corporation for Caldas Development","300,000",Closed,"Nov. 17, 1981"
SP8203028,Colombia,"Fundesan Institutional Strenghthening","9,600",Closed,"Nov. 16, 1981"
CO-L1186,Colombia,"Fundesan Institutional Strenghthening","500,000",Closed,"Nov. 16, 1981"
SP8106230,Colombia,"Fundacion Compartir Private Enterprise","15,000",Closed,"Aug. 20, 1981"
CO-L1184,Colombia,"Fundacion Compartir Private Enterprise","500,000",Closed,"Aug. 20, 1981"
SP8104094,Colombia,"Antioquia Microenterprise","15,000",Closed,"May. 8, 1981"
CO-L1183,Colombia,"Antioquia Microenterprise","500,000",Closed,"May. 8, 1981"
SP8009070,Colombia,"Inst.stre. of Talleres Rurales del Valle","50,000",Closed,"Oct. 24, 1980"
CO-L1182,Colombia,"Inst.stre. of Talleres Rurales del Valle","500,000",Closed,"Oct. 24, 1980"
SP7901061,Colombia,"Microindustry Credit","754,000",Closed,"Sep. 20, 1979"
SP7905013,Colombia,"Artesanias de Colombia, s.a.","15,000",Closed,"Apr. 11, 1979"
CO-L1181,Colombia,"Artesanias de Colombia, s.a.","1,016,600",Closed,"Apr. 11, 1979"
CO-L1180,Colombia,"Fedan: Unity of Financial Control","312,000",Closed,"Nov. 22, 1978"
SP7808184,Colombia,"Fedan: Unity of Financial Control","24,000",Closed,"Nov. 22, 1978"
