MPIO_CDPMP,north,south,east,west
27495,0.18830051875150514,0,0,0.48656797321976697
27580,0.13379233796487328,0,0,0.39312887378028455
27600,0.17539160158196165,0,0,0.4309326028755409
27660,0.11125431793357078,0,0,0.3695022313595802
27745,0.07287192728296492,0,0,0.39977217244070706
27787,0.14363524742021447,0,0,0.37540455478521656
27800,0.44401191280154206,0,0,0.46469681806387636
27810,0.14565552868196585,0,0,0.4117281554251935
52835,0,0.27872317901172355,0,0.6392265367201043
23001,0.49325509115920557,0,0,0.3314253941722104
23068,0.45965533783869617,0,0,0.22719761170055183
23079,0.45182025294197053,0,0,0.2717079593992731
23090,0.507940887616915,0,0,0.36462142991595387
23162,0.525525937402722,0,0,0.31802655563501675
23168,0.5486228347497374,0,0,0.29696535075912656
23182,0.5399043563825046,0,0,0.2627919902628707
23189,0.5203424805850065,0,0,0.29181383822802043
23300,0.5430079124275122,0,0,0.3115924940676619
23350,0.4371574498691245,0,0,0.25487359266264087
23417,0.5543945906214098,0,0,0.32671369873643347
23419,0.5200501452415175,0,0,0.3712245417522402
23464,0.5649747081859066,0,0,0.29679607124756857
23500,0.5570789888028943,0,0,0.3509295438355732
23555,0.46223941095592214,0,0,0.292343127000801
23570,0.48236610089879484,0,0,0.2683953159955432
23574,0.5358139956220597,0,0,0.3595674040136767
23586,0.5667577339631394,0,0,0.3049304121544591
23660,0.5158329130378064,0,0,0.27117996176312453
23670,0.5497866491796491,0,0,0.2817730690649962
23672,0.5748994584343257,0,0,0.3125242879824425
23675,0.5717842965730474,0,0,0.33439410584345164
23678,0.5060833748242463,0,0,0.3016048366975624
23682,0.40564000496948976,0,0,0.2871274127584565
23686,0.5357201969588675,0,0,0.3266913329030914
23815,0.5606731112610964,0,0,0.2844529764467907
23855,0.45482342749528487,0,0,0.3627189094630454
23466,0.4196816422952331,0,0,0.30948164926236743
23580,0.4012638358270934,0,0,0.31070173256056605
23807,0.4120498600484094,0,0,0.3566097229160787
08001,0.7457644644343671,0,0,0.2016604594856444
08078,0.72593437437254,0,0,0.21257935504553316
08137,0.6847763899086181,0,0,0.20751898410583525
08141,0.6938787380306988,0,0,0.20742166895825778
08296,0.7369359267188307,0,0,0.20852207146044555
08372,0.7290709072032412,0,0,0.23063401857093843
