"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
5873,1266,708,13,18,71,2076,-558,0.341040462427746,0.609826589595376,-0.26878612716763
5885,357,2146,10,32,82,2627,1789,0.816901408450704,0.135896459840122,0.681004948610582
5887,2001,11635,63,278,724,14701,9634,0.791442758995987,0.13611318957894,0.655329569417046
5890,893,5184,35,88,228,6428,4291,0.806471686372122,0.138923459863099,0.667548226509023
5893,3016,3620,13,208,260,7117,604,0.508641281438808,0.423774062104819,0.0848672193339891
5895,1934,3407,28,119,194,5682,1473,0.599612812390004,0.340373108060542,0.259239704329461
8001,242474,192265,259,2415,11534,448947,-50209,0.4282576785233,0.540094933254928,-0.111837254731628
8078,14573,8515,25,152,422,23687,-6058,0.35947988348039,0.615231983788576,-0.255752100308186
8137,2275,5769,7,44,103,8198,3494,0.703708221517443,0.277506708953403,0.42620151256404
8141,1354,3789,11,23,57,5234,2435,0.723920519679022,0.258693160106993,0.465227359572029
8296,9787,5695,12,121,322,15937,-4092,0.357344544142561,0.614105540565979,-0.256760996423417
8372,3018,5074,9,46,106,8253,2056,0.614806736944142,0.365685205379862,0.24912153156428
8421,3450,5668,24,71,148,9361,2218,0.605490866360432,0.368550368550369,0.236940497810063
8433,20302,11660,53,195,539,32749,-8642,0.356041405844453,0.619927326025222,-0.263885920180769
8436,1417,3941,6,35,93,5492,2524,0.717589220684632,0.258011653313911,0.459577567370721
8520,6083,3116,13,63,169,9444,-2967,0.329944938585345,0.644112664125371,-0.314167725540025
8549,1047,1337,5,16,25,2430,290,0.550205761316872,0.430864197530864,0.119341563786008
8558,4689,2230,17,64,110,7110,-2459,0.313642756680731,0.659493670886076,-0.345850914205345
8560,3146,4474,10,58,91,7779,1328,0.575138192569739,0.404422162231649,0.17071603033809
8573,8920,6838,5,95,345,16203,-2082,0.422020613466642,0.550515336666049,-0.128494723199407
8606,3287,5643,23,63,134,9150,2356,0.61672131147541,0.359234972677596,0.257486338797814
8634,6775,4725,10,89,225,11824,-2050,0.399610960757781,0.572987144790257,-0.173376184032476
8638,18560,14580,36,311,624,34111,-3980,0.427428102371669,0.544106006859957,-0.116677904488288
8675,1448,3888,4,21,39,5400,2440,0.72,0.268148148148148,0.451851851851852
8685,7709,4387,14,60,267,12437,-3322,0.352737798504463,0.619844013829702,-0.267106215325239
8758,74273,42620,54,790,2171,119908,-31653,0.355439170030357,0.619416552690396,-0.263977382660039
8770,1373,3108,1,15,74,4571,1735,0.679938744257274,0.30037190986655,0.379566834390724
8832,3029,2188,9,36,72,5334,-841,0.410198725159355,0.567866516685414,-0.157667791526059
8849,1986,2119,5,51,76,4237,133,0.500118008024546,0.468727873495398,0.031390134529148
9012,2,4,NA,NA,NA,6,2,0.666666666666667,0.333333333333333,0.333333333333333
9031,4,12,NA,NA,NA,16,8,0.75,0.25,0.5
9032,5624,1756,NA,20,244,7644,-3868,0.229722658294087,0.735740450026164,-0.506017791732077
9036,3908,2038,1,5,373,6325,-1870,0.322213438735178,0.617865612648221,-0.295652173913043
9040,309,141,NA,NA,29,479,-168,0.294363256784969,0.64509394572025,-0.350730688935282
9056,647,417,NA,NA,55,1119,-230,0.372654155495979,0.578194816800715,-0.205540661304736
9068,127,272,NA,NA,13,412,145,0.660194174757282,0.308252427184466,0.351941747572816
9076,1282,690,NA,2,95,2069,-592,0.333494441759304,0.619623006283229,-0.286128564523925
9084,11,8,NA,NA,4,23,-3,0.347826086956522,0.478260869565217,-0.130434782608696
9124,5532,7995,1,18,721,14267,2463,0.560384103175159,0.387747949814257,0.172636153360903
9152,3110,3267,1,25,312,6715,157,0.486522710349963,0.463142218912882,0.0233804914370812
9156,171,215,NA,NA,39,425,44,0.505882352941176,0.402352941176471,0.103529411764706
9188,738,2582,NA,12,119,3451,1844,0.748188930744712,0.213851057664445,0.534337873080267
9192,132,64,NA,NA,8,204,-68,0.313725490196078,0.647058823529412,-0.333333333333333
9196,12,14,NA,NA,NA,26,2,0.538461538461538,0.461538461538462,0.0769230769230769
9208,56,27,NA,NA,6,89,-29,0.303370786516854,0.629213483146067,-0.325842696629213
9214,235,702,NA,4,60,1001,467,0.701298701298701,0.234765234765235,0.466533466533467
9218,2258,5038,32,111,242,7681,2780,0.655904179143341,0.293972139044395,0.361932040098945
9222,58,170,NA,NA,18,246,112,0.691056910569106,0.235772357723577,0.455284552845528
9246,83,39,NA,NA,7,129,-44,0.302325581395349,0.643410852713178,-0.34108527131783
9250,3189,1589,NA,17,277,5072,-1600,0.313288643533123,0.628746056782334,-0.315457413249211
9276,1895,585,NA,3,153,2636,-1310,0.221927162367223,0.718892261001517,-0.496965098634294
9288,8,4,NA,NA,2,14,-4,0.285714285714286,0.571428571428571,-0.285714285714286
9300,15,28,NA,NA,NA,43,13,0.651162790697674,0.348837209302326,0.302325581395349
9320,90,485,NA,1,40,616,395,0.787337662337662,0.146103896103896,0.641233766233766
9340,38,153,NA,NA,15,206,115,0.742718446601942,0.184466019417476,0.558252427184466
9356,9,12,NA,NA,3,24,3,0.5,0.375,0.125
9360,12,17,NA,NA,6,35,5,0.485714285714286,0.342857142857143,0.142857142857143
