id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,codigo_partido_old
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,24,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,46,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,322,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,,998,VOTOS NULOS,,,328,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,,999,VOTOS EN BLANCO,,,145,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1525,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,189,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,1333,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,3287,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,,998,VOTOS NULOS,,,2429,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5079,5079,BARBOSA,Departamental,,999,VOTOS EN BLANCO,,,925,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,356,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,21,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,64,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,683,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,,998,VOTOS NULOS,,,262,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5086,5086,BELMIRA,Departamental,,999,VOTOS EN BLANCO,,,18,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,18480001,2,URIBE,VELEZ,ALVARO,10832,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,512,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,19940026,1,MESA,RAMIREZ,JORGE,6340,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,15709,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,,998,VOTOS NULOS,,,3946,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5088,5088,BELLO,Departamental,,999,VOTOS EN BLANCO,,,2333,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1437,1,1
