"FID_15t6","Pe_15t6","Du_15t6","vt_15t6","MV18_15t6","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16"
603,2342,2229,4679,-0.02415,0.233303650934996,0,0.051793410507569,0.0776901157613535,0,0,0,0
604,3216,1611,4894,-0.32795,0.0934995547640249,0,0.0207569011576135,0.0311353517364203,0,0,0,0
605,1841,2203,4115,0.08797,0.306322350845948,0,0.0680035618878005,0.102005342831701,0,0,0,0
606,14582,11710,26883,-0.10683,0.194122885129118,0,0.0430952804986643,0.0646429207479964,0,0,0,0
607,2830,3210,6179,0.0615,0.28673196794301,0,0.0636544968833482,0.0954817453250223,0,0,0,0
608,927,1485,2436,0.22906,0.402493321460374,0,0.089353517364203,0.134030276046305,0,0,0,0
609,2967,1817,4836,-0.2378,0.132680320569902,0,0.0294550311665183,0.0441825467497774,0,0,0,0
610,2443,6164,8850,0.42045,0.57613535173642,0,0.127902048085485,0.191853072128228,0,0,0,0
611,1094,5026,6203,0.63389,0.796081923419412,0,0.17673018699911,0.265095280498664,0,0,0,0
612,3303,1789,5190,-0.29171,0.105966162065895,0,0.0235244879786287,0.035286731967943,0,0,0,0
613,7225,3591,10956,-0.33169,0.0872662511130899,0,0.019373107747106,0.029059661620659,0,0,0,0
614,2972,11041,14231,0.567,0.72573463935886,0,0.161113089937667,0.2416696349065,0,0,0,0
615,6195,5060,11403,-0.09954,0.197684772929653,0,0.0438860195903829,0.0658290293855744,0,0,0,0
616,3027,2661,5773,-0.0634,0.213713268032057,0,0.0474443455031167,0.071166518254675,0,0,0,0
617,9561,8556,18560,-0.05415,0.219946571682992,0,0.0488281389136242,0.0732422083704363,0,0,0,0
618,4040,5260,9407,0.12969,0.341941228851291,0,0.0759109528049867,0.11386642920748,0,0,0,0
619,4027,2758,6882,-0.18439,0.154942119323241,0,0.0343971504897596,0.0515957257346394,0,0,0,0
620,8850,10771,20089,0.09562,0.315227070347284,0,0.0699804096170971,0.104970614425646,0,0,0,0
621,9432,7798,17546,-0.09313,0.201246660730187,0,0.0446767586821015,0.0670151380231523,0,0,0,0
622,4288,4289,8752,0.00011,0.244879786286732,0,0.0543633125556545,0.0815449688334818,0,0,0,0
623,6304,6947,13625,0.04719,0.276936776491541,0,0.061479964381122,0.092219946571683,0,0,0,0
624,2658,7200,9986,0.45484,0.606411398040962,0,0.134623330365093,0.20193499554764,0,0,0,0
625,7242,4116,11595,-0.2696,0.114870881567231,0,0.0255013357079252,0.0382520035618878,0,0,0,0
626,4795,5266,10267,0.04588,0.275155832591273,0,0.0610845948352627,0.091626892252894,0,0,0,0
627,4297,3345,7786,-0.12227,0.181656277827248,0,0.0403276936776492,0.0604915405164737,0,0,0,0
628,4891,8358,13869,0.24998,0.42386464826358,0,0.0940979519145147,0.141146927871772,0,0,0,0
629,391,945,1385,0.4,0.554764024933215,0,0.123157613535174,0.18473642030276,0,0,0,0
630,5523,28888,36106,0.64712,0.815672306322351,0,0.181079252003562,0.271618878005343,0,0,0,0
631,166,1554,1769,0.78462,0.964381121994657,0,0.214092609082814,0.321138913624221,0,0,0,0
632,126,1324,1506,0.79548,0.969723953695459,0,0.215278717720392,0.322918076580588,0,0,0,0
633,6755,5227,12738,-0.11996,0.185218165627783,0,0.0411184327693678,0.0616776491540517,0,0,0,0
634,3579,1872,5799,-0.29436,0.103294746215494,0,0.0229314336598397,0.0343971504897596,0,0,0,0
635,6822,9218,17145,0.13975,0.35173642030276,0,0.0780854853072128,0.117128227960819,0,0,0,0
636,5957,11508,18427,0.30124,0.46393588601959,0,0.102993766696349,0.154490650044524,0,0,0,0
637,47404,28703,81531,-0.22937,0.13713268032057,0,0.0304434550311665,0.0456651825467498,0,0,0,0
638,184,718,927,0.57605,0.740872662511131,0,0.164473731077471,0.246710596616207,0,0,0,0
639,1212,6296,7717,0.65881,0.827248441674087,0,0.183649154051647,0.275473731077471,0,0,0,0
640,1101,1530,2784,0.15409,0.359750667853963,0,0.0798646482635797,0.11979697239537,0,0,0,0
641,1670,2007,3895,0.08652,0.304541406945681,0,0.0676081923419412,0.101412288512912,0,0,0,0
642,365,394,807,0.03594,0.268032056990205,0,0.0595031166518255,0.0892546749777382,0,0,0,0
643,435,479,980,0.0449,0.27426536064114,0,0.060886910062333,0.0913303650934996,0,0,0,0
644,501,1984,2592,0.57215,0.732858414959929,0,0.162694568121104,0.244041852181656,0,0,0,0
645,782,1319,2184,0.24588,0.417631344612645,0,0.0927141585040071,0.139071237756011,0,0,0,0
646,188,1037,1264,0.67168,0.841495992876224,0,0.186812110418522,0.280218165627783,0,0,0,0
647,568,2081,2701,0.56016,0.717720391807658,0,0.1593339269813,0.23900089047195,0,0,0,0
648,196,309,540,0.20926,0.388245770258237,0,0.0861905609973286,0.129285841495993,0,0,0,0
649,513,1136,1723,0.36158,0.518254674977738,0,0.115052537845058,0.172578806767587,0,0,0,0
650,232,980,1262,0.59271,0.76313446126447,0,0.169415850400712,0.254123775601069,0,0,0,0
651,993,1113,2224,0.05396,0.281389136242208,0,0.0624683882457703,0.0937025823686554,0,0,0,0
652,320,1227,1611,0.563,0.720391807658059,0,0.159926981300089,0.239890471950134,0,0,0,0
653,9321,13505,24206,0.17285,0.370436331255565,0,0.0822368655387355,0.123355298308103,0,0,0,0
654,448,2678,3218,0.69298,0.877114870881567,0,0.194719501335708,0.292079252003562,0,0,0,0
655,398,2368,2838,0.69415,0.878005342831701,0,0.194917186108638,0.292375779162956,0,0,0,0
656,758,770,1606,0.00747,0.250222617987533,0,0.0555494211932324,0.0833241317898486,0,0,0,0
657,442,1754,2288,0.57343,0.73552983081033,0,0.163287622439893,0.24493143365984,0,0,0,0
658,2604,2124,5024,-0.09554,0.200356188780053,0,0.0444790739091719,0.0667186108637578,0,0,0,0
659,239,1410,1718,0.68161,0.858414959928762,0,0.190568121104185,0.285852181656278,0,0,0,0
660,674,618,1374,-0.04076,0.226179875333927,0,0.0502119323241318,0.0753178984861977,0,0,0,0
661,298,1391,1738,0.62888,0.790739091718611,0,0.175544078361532,0.263316117542297,0,0,0,0
662,417,1042,1505,0.41528,0.570792520035619,0,0.126715939447907,0.190073909171861,0,0,0,0
663,116,724,865,0.70289,0.883348174532502,0,0.196103294746215,0.294154942119323,0,0,0,0
