MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
76036,110460417.918,417,174796.43359445757,174781.18672548258,417,0.0015824350196123398,0.0015822969894540046,3.7751079333192352e-6
76041,305451138.434,555,461282.6035783269,461282.6035783269,555,0.0015101682250825788,0.0015101682250825788,1.8169845522442568e-6
76054,90796043.6773,236,165432.60623607572,165255.77535837877,236,0.0018220243915477528,0.0018200768300623048,2.5992321960499977e-6
76111,825877248.696,2204,796722.342442183,783411.8919293836,2204,9.646982571564353e-4,9.485815151904644e-4,2.6686774620319854e-6
76113,396781323.359,717,441891.660328975,439678.84331068775,717,0.0011136906762346775,0.0011081137579474095,1.8070406992197874e-6
76122,166983686.558,377,297263.73851304414,297263.73851304414,377,0.0017801962852807946,0.0017801962852807946,2.257705574544571e-6
76126,793497981.843,1037,465249.13979570445,465249.13979570445,1037,5.863268091937727e-4,5.863268091937727e-4,1.306871628824355e-6
76130,296473034.993,2835,817698.0107078396,816841.0203262023,2835,0.0027580856071013214,0.0027551949887971725,9.562421081792269e-6
76147,248223972.096,2937,594433.0027760346,593319.1307125854,2937,0.002394744543633921,0.002390257176624024,1.1832056248234246e-5
76243,187813135.642,288,236278.92071988015,236194.05075429834,288,0.0012580532235522825,0.001257601338409682,1.5334390697196559e-6
76246,214203355.217,173,182922.74185019024,182922.74185019024,173,8.539676778866477e-4,8.539676778866477e-4,8.076437450045603e-7
76248,441888582.888,1604,674237.3688384817,669632.32055867,1604,0.0015258085294531636,0.0015153872412412913,3.629874276264218e-6
76250,235410117.347,167,183202.15375109276,183202.15375109276,167,7.782254892683669e-4,7.782254892683669e-4,7.094002665732421e-7
76275,401550211.378,963,384811.53708500206,384811.53708500206,963,9.58314866189322e-4,9.58314866189322e-4,2.3982056856483092e-6
76306,268732723.093,665,358003.8186186181,358003.8186186181,665,0.001332192873640938,0.001332192873640938,2.474577685762014e-6
76318,162499075.303,817,296616.787067068,296616.787067068,817,0.0018253444612776326,0.0018253444612776326,5.0277209176519965e-6
76020,62357545.3941,550,198779.51177593024,198779.51177593024,550,0.0031877379155905304,0.0031877379155905304,8.82010342972927e-6
76497,214677027.079,386,265305.6477723419,264225.7877165578,386,0.0012358362298109842,0.0012308060685940285,1.7980498670589195e-6
76520,1005153439.61,7392,2159754.667551477,2098732.305734949,7392,0.0021486815668555668,0.002087972067776297,7.3541010841768585e-6
76563,356731061.348,795,415039.6629925018,415039.6629925018,795,0.001163452550008311,0.001163452550008311,2.2285696036557294e-6
76606,136232017.755,547,286379.7859238682,286379.7859238682,547,0.0021021474293869327,0.0021021474293869327,4.01520882545927e-6
76616,308087796.099,376,277595.04495848046,277205.5194218718,376,9.010257740598038e-4,8.997614411600888e-4,1.2204313340577026e-6
76622,235726651.522,1011,540283.9883993793,540283.9883993793,1011,0.0022919936498947613,0.0022919936498947613,4.288865910885961e-6
76670,202128604.639,641,258637.34188080285,258576.78613272595,641,0.0012795682349993312,0.0012792686448043409,3.17124833046179e-6
76736,537183991.461,706,573228.0787952149,572928.5068349149,706,0.0010670982157085218,0.0010665405446590082,1.3142610562162596e-6
76823,175763653.401,338,271920.9063612054,271920.9063612054,338,0.001547082693717257,0.001547082693717257,1.9230369502439858e-6
76828,307642093.695,412,329045.79927810427,328713.01937479695,412,0.0010695733972098246,0.0010684916859936824,1.3392185544298813e-6
76834,909358972.232,3426,1123244.8015232284,1122500.395511341,3426,0.0012352050574332056,0.0012343864522018082,3.7674890825467576e-6
76845,41860877.4491,448,143717.07593219273,143220.08519404728,448,0.0034332074406931146,0.003421335001116334,1.0702116804520825e-5
76863,200597259.552,188,202585.37340378773,202530.9446064234,188,0.0010099109721450226,0.0010096396384414322,9.372012380421656e-7
76869,113773944.797,359,200706.6203136644,200706.6203136644,359,0.0017640824590531086,0.0017640824590531086,3.1553797369032256e-6
76890,327800545.665,647,406417.0064402792,405565.76762706274,647,0.0012398301705562817,0.0012372333511657297,1.9737612049651986e-6
76892,230589698.953,3841,832407.7659592866,830318.4489301966,3841,0.003609908724192195,0.003600847968058783,1.6657292227017012e-5
76895,367937268.588,965,458355.8162556632,458355.8162556632,965,0.0012457444662092925,0.0012457444662092925,2.622729694394086e-6
76403,264697798.534,425,252595.1017736218,238430.06685221824,425,9.542773048079445e-4,9.007633164036016e-4,1.6056045889078652e-6
76400,120874948.972,851,349631.01216875704,349631.01216875704,851,0.0028925018388197797,0.0028925018388197797,7.040333892485277e-6
76377,255414894.239,872,474952.17212263966,474952.17212263966,872,0.00185953201177928,0.00185953201177928,3.4140530551207455e-6
76364,628964341.095,4833,1311664.6799246753,1310611.9708863832,4833,0.0020854356824762483,0.00208376196431846,7.68406042159076e-6
76100,743572072.476,373,381866.7760976096,378984.6240073913,373,5.135571792335369e-4,5.096810894812401e-4,5.016326107541367e-7
76233,916324795.732,2407,1006967.2821154299,1006843.2448176765,2407,0.001098919604495719,0.0010987842405960067,2.6267978463653643e-6
76109,6292410256.27,3554,891952.2122130018,887623.1931827505,3554,1.4175048604375822e-4,1.410625113482212e-4,5.648074196145518e-7
86001,1304637880.25,1328,352444.65629505104,346951.8056803417,1328,2.701474958150948e-4,2.65937246597391e-4,1.017906976413657e-6
86219,64274618.3718,95,60650.149608052685,60650.149608052685,95,9.436096416351883e-4,9.436096416351883e-4,1.4780328908445223e-6
86320,1939390455.13,741,481165.6673939231,459388.12237918697,741,2.4810149298258247e-4,2.368724261605142e-4,3.820788114327033e-7
86749,97734624.5962,219,108793.87064361566,108793.87064361566,219,0.0011131558656219125,0.0011131558656219125,2.2407616635846257e-6
86755,407356741.023,112,138215.03267518678,138215.03267518678,112,3.3929727621073773e-4,3.3929727621073773e-4,2.7494328366515554e-7
86757,379742132.648,352,224460.21863569552,222187.45321784588,352,5.91085895764318e-4,5.851008727119605e-4,9.269448126428588e-7
86760,341923819.609,100,90379.47975517262,90379.47975517262,100,2.6432636327742307e-4,2.6432636327742307e-4,2.924628068157198e-7
