"MPIO_CDPMP","discap4t5","disbog4t5","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","FID_4t5"
"13780",151.094985961914,547.695922851562,0.863636363636364,0.323863636363636,0,0,0.518181818181818,526
"13810",244.412948608398,458.800415039062,0.745098039215686,0.279411764705882,0,0,0.447058823529412,527
"13836",16.8443489074707,672.902526855469,0.940285204991087,0.352606951871658,0,0,0.564171122994652,528
"13838",18.7618865966797,660.658996582031,0.933155080213904,0.349933155080214,0,0,0.559893048128342,529
"13873",26.4459991455078,680.806640625,0.949197860962567,0.355949197860963,0,0,0.56951871657754,530
"13894",98.8513412475586,598.788818359375,0.902852049910873,0.338569518716578,0,0,0.541711229946524,531
"15001",0,154.065734863281,0.213903743315508,0.0802139037433155,0,0,0.128342245989305,637
"15022",63.8282852172852,107.231025695801,0.125668449197861,0.0471256684491979,0,0,0.0754010695187166,638
"15047",57.3484954833984,187.243698120117,0.283422459893048,0.106283422459893,0,0,0.170053475935829,639
"15051",26.7589244842529,170.713897705078,0.244206773618538,0.0915775401069519,0,0,0.146524064171123,640
"15087",75.026725769043,228.491897583008,0.377005347593583,0.141377005347594,0,0,0.22620320855615,641
"15090",46.7603454589844,149.708694458008,0.203208556149733,0.0762032085561497,0,0,0.12192513368984,642
"15092",74.2359771728516,225.656356811523,0.375222816399287,0.140708556149733,0,0,0.225133689839572,643
"15097",121.819618225098,275.50390625,0.493761140819964,0.185160427807487,0,0,0.296256684491979,644
"15104",12.2983741760254,143.050109863281,0.192513368983957,0.072192513368984,0,0,0.115508021390374,645
"15106",59.203125,143.378067016602,0.194295900178253,0.0728609625668449,0,0,0.116577540106952,646
"15109",63.729190826416,122.622398376465,0.154188948306595,0.0578208556149733,0,0,0.0925133689839572,647
"15114",67.9995574951172,218.582717895508,0.353832442067736,0.132687165775401,0,0,0.212299465240642,648
"15131",56.2285499572754,133.300674438477,0.172905525846702,0.0648395721925134,0,0,0.103743315508021,649
"15135",62.7710914611816,130.577590942383,0.164884135472371,0.061831550802139,0,0,0.0989304812834225,650
"15162",65.9967422485352,219.635192871094,0.355614973262032,0.133355614973262,0,0,0.213368983957219,651
"15172",37.8761138916016,127.043251037598,0.161319073083779,0.0604946524064171,0,0,0.0967914438502674,652
"15176",49.0086708068848,139.172744750977,0.181818181818182,0.0681818181818182,0,0,0.109090909090909,653
"15180",164.720520019531,318.646850585938,0.576648841354724,0.216243315508021,0,0,0.345989304812834,757
"15183",119.73274230957,267.453948974609,0.474153297682709,0.177807486631016,0,0,0.284491978609626,654
"15185",50.0729484558105,193.877304077148,0.295900178253119,0.11096256684492,0,0,0.177540106951872,655
"15187",13.7480907440186,166.030090332031,0.234402852049911,0.0879010695187166,0,0,0.140641711229947,656
"15189",15.868522644043,149.562652587891,0.201426024955437,0.0755347593582888,0,0,0.120855614973262,657
"15204",18.2989063262939,170.981323242188,0.245989304812834,0.0922459893048128,0,0,0.147593582887701,658
"15212",75.0066680908203,118.345375061035,0.145276292335116,0.0544786096256684,0,0,0.0871657754010695,659
"15215",65.9066772460938,215.258911132812,0.344919786096257,0.129344919786096,0,0,0.206951871657754,660
"15218",131.981399536133,285.882843017578,0.513368983957219,0.192513368983957,0,0,0.308021390374332,677
"15223",201.737869262695,355.384765625,0.630124777183601,0.23629679144385,0,0,0.37807486631016,758
"15224",9.30053806304932,148.750442504883,0.199643493761141,0.0748663101604278,0,0,0.119786096256684,678
"15226",46.1469383239746,189.654144287109,0.287878787878788,0.107954545454545,0,0,0.172727272727273,679
"15232",15.4563903808594,158.395477294922,0.225490196078431,0.0845588235294118,0,0,0.135294117647059,680
"15236",72.401725769043,104.618034362793,0.119429590017825,0.0447860962566845,0,0,0.0716577540106952,681
"15238",53.708194732666,207.717300415039,0.324420677361854,0.121657754010695,0,0,0.194652406417112,682
"15244",141.526428222656,293.410675048828,0.532976827094474,0.199866310160428,0,0,0.319786096256684,683
"15248",144.355850219727,297.943115234375,0.544563279857397,0.204211229946524,0,0,0.326737967914438,684
"15272",43.6083717346191,191.215072631836,0.290552584670232,0.108957219251337,0,0,0.174331550802139,685
"15276",61.0521926879883,213.35009765625,0.341354723707665,0.128008021390374,0,0,0.204812834224599,686
"15293",31.1515655517578,163.504592895508,0.231729055258467,0.0868983957219251,0,0,0.13903743315508,687
"15296",76.2103652954102,222.765365600586,0.364527629233512,0.136697860962567,0,0,0.218716577540107,688
"15299",49.5181770324707,123.891716003418,0.155971479500891,0.0584893048128342,0,0,0.0935828877005348,689
"15317",140.83366394043,294.355224609375,0.537433155080214,0.20153743315508,0,0,0.322459893048128,690
"15322",58.051441192627,103.054534912109,0.114973262032086,0.0431149732620321,0,0,0.0689839572192513,691
"15325",68.0969924926758,95.6592025756836,0.106060606060606,0.0397727272727273,0,0,0.0636363636363636,692
"15332",166.291458129883,318.580444335938,0.575757575757576,0.215909090909091,0,0,0.345454545454545,759
"15362",46.0369415283203,191.203308105469,0.289661319073084,0.108622994652406,0,0,0.17379679144385,693
"15367",16.5048484802246,140.735595703125,0.185383244206774,0.0695187165775401,0,0,0.111229946524064,694
"15368",111.602012634277,263.288421630859,0.46078431372549,0.172794117647059,0,0,0.276470588235294,695
"15377",86.4020843505859,215.814117431641,0.345811051693405,0.129679144385027,0,0,0.207486631016043,661
"15380",47.4228858947754,111.793655395508,0.133689839572193,0.0501336898395722,0,0,0.0802139037433155,662
"15401",95.1152572631836,124.271797180176,0.157754010695187,0.0591577540106952,0,0,0.0946524064171123,663
"15403",118.31031036377,270.850250244141,0.484848484848485,0.181818181818182,0,0,0.290909090909091,664
"15407",24.5246810913086,158.25227355957,0.224598930481283,0.0842245989304813,0,0,0.13475935828877,696
"15425",63.6177635192871,115.946914672852,0.141711229946524,0.0531417112299465,0,0,0.0850267379679144,697
"15442",75.5860443115234,131.256713867188,0.169340463458111,0.0635026737967914,0,0,0.101604278074866,698
"15455",46.4767684936523,140.908065795898,0.18716577540107,0.0701871657754011,0,0,0.112299465240642,699
"15464",78.9977874755859,221.263046264648,0.36096256684492,0.135360962566845,0,0,0.216577540106952,700
