"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","n_6t9","s_6t9","e_6t9","w_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","nAllRds_13","lAllRds_13","lRds_13","lMjRds_13","nAR_13pkm","lAR_13pkm","lRds_13pkm","lMjRds_13pkm","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"50370","Meta","Ariari","Uribe",0.770788431167603,78.4552083231983,35330.9263489603,60.4,161.853210449219,0,0.105137027025772,0,0.155773322662488,108,0,18,8,31.9302,15534,804,964,0.0517574353032059,0.062057422428222,6437208689.07,6437208.68907,0.0024131577443459,111.923988342285,320,696506.270643727,524476.890234517,320,4.97109873947913e-05,0.108200045126136,0.0814758252478357,4.97109873947913e-05,0.123610578765811,0.00695249130938586,0,0.00115874855156431,0.000514999356250805,0.000496025553035364
"50400","Meta","Ariari","Lejanías",0.579254984855652,267.525447026989,35330.9263489603,39.9,96.8800888061523,0,0.0354149870311885,0,0.11712975202959,18,0,30,5,2,20960,180,474,0.00858778625954199,0.0226145038167939,815426334.612,815426.334612,0.0257043452122175,81.0115432739258,277,285334.840409544,284684.711253111,277,0.000339699600371385,0.349921051477094,0.349123764059657,0.000339699600371385,0.711412535079514,0.000858778625954198,0,0.00143129770992366,0.000238549618320611,0.000245270469582228
"50450","Meta","Ariari","Puerto Concordia",0.592371881008148,157.745051233241,35330.9263489603,53,245.440170288086,0,0.141470324563039,0.0580036442350551,0,23,0,14,13,91.182,15746,1158,1482,0.0735424869808205,0.0941191413692366,1242935516.83,1242935.51683,0.0126683965393143,170.929443359375,235,328336.080132897,328336.080132897,235,0.000189068537199216,0.264161797363623,0.264161797363623,0.000189068537199216,0.608144192256342,0.00146068842880732,0,0.000889114695795758,0.000825606503238918,0.00733602015272296
"50568","Meta","Rio meta","Puerto Gaitán",0.502348661422729,9563.02713415916,35330.9263489603,51.8,258.941955566406,0.0107796575580248,0,0.2327303884326,0,51,0,189,4,0,78828,24680,26216,0.313086720454661,0.332572182473233,17250083166.3,17250083.1663,0.00456971709875576,176.539093017578,2169,3915920.20938379,3901875.98882169,2169,0.000125738524219836,0.227008772748063,0.226194618959545,0.000125738524219836,0.569191226867718,0.000646978231085401,0,0.00239762520931649,5.07433906733648e-05,0
"50573","Meta","Rio meta","Puerto López",0.388960152864456,1013.02836782206,35330.9263489603,32.7,177.088333129883,0.0117556837579138,0,0.0700938270442466,0,88,0,130,6,0,55938,2600,3328,0.0464800314634059,0.0594944402731596,6913346575.71,6913346.57571,0.00809130561984811,96.275634765625,1136,1826068.73365065,1821452.27445311,1136,0.000164319839539266,0.264136726497486,0.263468966079723,0.000164319839539266,0.755995073534739,0.00157317029568451,0,0.0023240015731703,0.000107261611069398,0
"50577","Meta","Ariari","Puerto Lleras",0.607886433601379,231.478524816002,35330.9263489603,43.5,170.668106079102,0,0.0872614838741965,0,0.0177900899040915,10,0,39,5,49.3011,17384,108,308,0.00621260929590428,0.0177174413253566,2535774209.98,2535774.20998,0.00685549996193751,101.673248291016,376,873206.792761966,870199.390748513,376,0.000148278186015215,0.344355104380076,0.343169114712061,0.000148278186015215,0.754553734061931,0.000575241601472618,0,0.00224344224574321,0.000287620800736309,0.00194422278631775
"50590","Meta","Ariari","Puerto Rico",0.507005572319031,283.296547325804,35330.9263489603,47.1,219.891830444336,0,0.140754208199206,0,0.00635885540325307,40,0,25,18,1832.5742,22066,32,840,0.00145019486993565,0.0380676153358107,3428133569.97,3428133.56997,0.00643673869457575,158.130172729492,550,877992.752302511,826711.010757647,550,0.000160437155896704,0.256113927413334,0.241154842389902,0.000160437155896704,0.567434210526316,0.00181274358741956,0,0.00113296474213722,0.000815734614338802,0.0534569077486685
"50606","Meta","Piedemonte","Restrepo",0.332712948322296,227.091980525591,35330.9263489603,15.3,94.6223068237305,0.0352668244697781,0,0,0.0451743588958944,13,0,137,1,0,34572,46,372,0.00133055651972695,0.0107601527247484,365116610,365116.61,0.0946875574901947,20.4525699615479,894,344975.962070401,344975.962070401,894,0.00244853281257185,0.94483776585897,0.94483776585897,0.00244853281257185,0.716422947131609,0.000376026842531528,0,0.00396274441744765,2.89251417331945e-05,0
"50680","Meta","Piedemonte","San Carlos de Guaroa",0.487638264894485,415.155503492493,35330.9263489603,31.9,124.24836730957,0,0.00677523514269507,0,0.022311107850496,43,0,14,4,0,22686,70,706,0.00308560345587587,0.0311205148549766,807794796.967,807794.796967,0.0280838649681557,41.3345069885254,338,392959.286958283,392959.286958283,338,0.000418423096149019,0.486459294407087,0.486459294407087,0.000418423096149019,0.789152024446142,0.00189544212289518,0,0.000617120691175174,0.000176320197478621,0
"50683","Meta","Ariari","San Juan de Arama",0.522153973579407,172.16497152711,35330.9263489603,37.9,138.849411010742,0,0.0753632035433226,0,0.0847782697441082,4,0,23,0,0,15768,12,186,0.00076103500761035,0.0117960426179604,1169104600.06,1169104.60006,0.01348724485319,94.250114440918,322,427956.656359025,427280.246404114,322,0.000275424457301318,0.36605506157196,0.365476490625548,0.000275424457301318,0.665637542451374,0.000253678335870117,0,0.00145865043125317,0,0
