MPIO_CDPMP,municipio,depto,pct_elec_dom,pct_civlib_dom,pct_convergent,n_years,stability_type
68895,Zapatoca,Santander,0.6190476190476191,0,0.38095238095238093,21,Episodic / mixed
70001,Sincelejo,Sucre,0,0,1,21,Structurally convergent
70110,Buenavista,Sucre,0.19047619047619047,0,0.8095238095238095,21,Structurally convergent
70124,Caimito,Sucre,0,0,1,21,Structurally convergent
70204,Coloso,Sucre,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
70204,Colosó,Sucre,0,0,1,4,Structurally convergent
70215,Corozal,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70221,Coveñas,Sucre,0,0.047619047619047616,0.9523809523809523,21,Structurally convergent
70230,Chalán,Sucre,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
70233,El Roble,Sucre,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
70235,Galeras,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70265,Guaranda,Sucre,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
70400,La Unión,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70418,Los Palmitos,Sucre,0,0,1,21,Structurally convergent
70429,Majagual,Sucre,0,0,1,21,Structurally convergent
70473,Morroa,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70508,Ovejas,Sucre,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
70523,Palmito,Sucre,0,0,1,21,Structurally convergent
70670,Sampués,Sucre,0,0,1,21,Structurally convergent
70678,San Benito Abad,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70702,San Juan De Betulia,Sucre,0,0,1,4,Structurally convergent
70702,San Juan de Betulia,Sucre,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
70708,San Marcos,Sucre,0,0,1,21,Structurally convergent
70713,San Onofre,Sucre,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
70717,San Pedro,Sucre,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
70742,San Luis De Sincé,Sucre,0,0,1,4,Structurally convergent
70742,San Luis de Sincé,Sucre,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
70771,Sucre,Sucre,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
70820,Santiago De Tolú,Sucre,0,0,1,4,Structurally convergent
